pdb_id,target,cluster
4llx,2.89,1
5c28,5.66,1
3uuo,7.96,1
3ui7,9.00,1
5c2h,11.09,1
2v00,3.66,2
3wz8,5.82,2
3pww,7.32,2
3prs,7.82,2
3uri,9.00,2
4m0z,5.19,3
4m0y,6.46,3
3qgy,7.80,3
4qd6,8.64,3
4rfm,10.05,3
4cr9,4.10,4
4cra,7.22,4
4x6p,8.30,4
4crc,8.72,4
4ty7,9.52,4
5aba,2.98,5
5a7b,3.57,5
4agn,3.97,5
4agp,4.69,5
4agq,5.01,5
3bgz,6.26,6
3jya,6.89,6
2c3i,7.60,6
4k18,8.96,6
5dwr,11.22,6
3mss,4.66,7
3k5v,6.30,7
3pyy,6.86,7
2v7a,8.30,7
4twp,10.00,7
3wtj,6.53,8
3zdg,7.10,8
3u8k,8.66,8
4qac,9.40,8
3u8n,10.17,8
1a30,4.30,9
2qnq,6.11,9
1g2k,7.96,9
1eby,9.70,9
3o9i,11.82,9
4lzs,4.80,10
3u5j,5.61,10
4wiv,6.26,10
4ogj,6.79,10
3p5o,7.30,10
1ps3,2.28,11
3dx1,3.58,11
3d4z,4.89,11
3dx2,6.82,11
3ejr,8.57,11
3l7b,2.40,12
4eky,3.52,12
3g2n,4.09,12
3syr,5.10,12
3ebp,5.91,12
2w66,4.05,13
2w4x,4.85,13
2wca,5.60,13
2xj7,6.66,13
2vvn,7.30,13
3aru,3.22,14
3arv,5.64,14
3ary,6.00,14
3arq,6.40,14
3arp,7.15,14
4ih5,4.11,15
4ih7,5.24,15
3cj4,6.51,15
4eo8,8.15,15
3gnw,9.10,15
1gpk,5.37,16
1gpn,6.48,16
1h23,8.35,16
1h22,9.10,16
1e66,9.89,16
3f3a,4.19,17
3f3c,6.02,17
4mme,6.50,17
3f3d,7.16,17
3f3e,7.70,17
2wbg,4.45,18
2cbv,5.48,18
2j78,6.42,18
2j7h,7.19,18
2cet,8.02,18
3udh,2.85,19
3rsx,4.41,19
4djv,6.72,19
2vkm,8.74,19
4gid,10.77,19
4jfs,5.27,20
4j28,5.70,20
2wvt,6.12,20
2xii,7.20,20
4pcs,7.85,20
3rr4,4.55,21
1s38,5.15,21
1r5y,6.46,21
3gc5,7.26,21
3ge7,8.70,21
4dli,5.62,22
2zb1,6.32,22
4f9w,6.94,22
3e92,8.00,22
3e93,8.85,22
4owm,2.96,23
3twp,3.92,23
3r88,4.82,23
4gkm,5.17,23
3qqs,5.82,23
3gv9,2.12,24
3gr2,2.52,24
4kz6,3.10,24
4jxs,4.74,24
2r9w,5.10,24
2hb1,3.80,25
1bzc,4.92,25
2qbr,6.33,25
2qbq,7.44,25
2qbp,8.40,25
1q8t,4.76,26
1ydr,5.52,26
1q8u,5.96,26
1ydt,7.32,26
3ag9,8.05,26
3fcq,2.77,27
1z9g,5.64,27
1qf1,7.32,27
5tmn,8.04,27
4tmn,10.17,27
4ddk,2.29,28
4ddh,3.32,28
3ivg,4.30,28
