#code score
1ps3 5.09
3d4z 5.45
3ejr 8.43
2qmj 6.78
3l4w 4.37
3l4u 4.73
3l7b 3.43
3g2n 4.63
3ebp 5.77
2w66 5.69
2wca 5.31
2vvn 6.72
2x97 6.81
2xhm 6.5
2x8z 4.56
2x0y 4.92
2cbj 5.63
2j62 8.35
3bkk 6.82
3l3n 7.8
2xy9 7.82
1gpk 5.18
1h23 8.32
1e66 8.61
3cj2 4.63
2d3u 6.77
3gnw 7.86
3f3a 5.81
3f3c 4.59
3f3e 5.54
4gqq 5.26
1u33 5.82
1xd0 7.24
2wbg 5.69
2j78 5.58
2cet 7.69
2zxd 6.8
2zwz 6.75
2zx6 8.47
3udh 3.51
4djv 5.57
4gid 7.97
3fk1 3.44
2qft 3.58
2pq9 6.2
1f8d 4.35
1f8b 4.33
1f8c 5.34
1n2v 5.81
1r5y 5.01
3ge7 7.97
3huc 7.03
3gcs 6.51
3e93 8.29
1q8t 5.63
1q8u 6.71
3ag9 7.39
3owj 6.15
2zjw 5.67
3pe2 7.89
2v00 4.01
3pww 8.21
3uri 7.07
3mfv 3.45
3f80 4.92
3kv2 4.4
2hb1 4.24
2qbr 6.02
2qbp 7.76
3fcq 4.29
1os0 6.6
4tmn 5.63
3pxf 5.0
2xnb 7.63
2fvd 8.03
1qi0 2.77
1w3k 4.48
1w3l 4.8
3imc 2.89
3ivg 6.02
3coy 7.3
3b3s 2.79
3b3w 3.55
3vh9 5.47
3mss 4.57
3k5v 6.36
2v7a 7.57
2brb 6.5
3jvs 5.73
1nvq 7.59
3acw 5.66
2zcr 6.02
2zcq 5.62
1bcu 4.41
1oyt 7.19
3utu 9.86
3u9q 4.69
2yfe 5.99
2p4y 6.9
3uo4 7.41
2wtv 8.61
3myg 7.81
3kgp 3.0
1o5b 4.23
1sqa 7.43
3kwa 4.38
2weg 7.16
3dd0 8.09
2xdl 4.56
1yc1 6.88
2yki 7.51
1p1q 6.0
3bfu 7.0
4g8m 5.81
3g2z 2.22
4de2 4.88
4de1 4.86
1vso 5.33
3gbb 6.39
3fv1 8.87
2y5h 6.95
2xbv 8.26
1mq6 8.63
1loq 4.84
1lol 5.76
1lor 5.99
1uto 3.05
3gy4 4.18
1o3f 6.87
2yge 5.92
2iwx 6.03
2vw5 6.11
2ymd 5.51
2xys 6.93
2x00 8.05
2r23 4.82
3bpc 4.39
1kel 6.13
3ozt 6.36
3oe5 6.73
3nw9 7.58
1zea 7.53
2pcp 7.02
1igj 6.55
1lbk 2.98
2gss 4.55
10gs 4.46
3su5 7.86
3su2 7.79
3su3 7.92
3n7a 4.33
3n86 6.14
2xb8 5.93
3ao4 3.44
3zsx 2.8
3zso 4.88
3nq3 5.22
3ueu 5.93
3uex 5.84
3lka 4.31
3ehy 6.52
3f17 6.79
3cft 5.12
4des 6.31
4dew 5.62
3dxg 3.43
1w4o 4.27
1u1b 5.96
3ov1 5.49
3s8o 5.43
1jyq 7.07
1a30 5.44
3cyx 8.32
4djr 10.08
3i3b 4.3
3muz 3.16
3vd4 3.35
2vo5 5.06
2vl4 5.97
2vot 7.85
1n1m 4.91
2ole 7.55
3nox 7.46
1hnn 7.37
2g70 5.12
2obf 8.14
1z95 8.18
3b68 6.9
3g0w 8.15
1sln 6.72
2d1o 7.82
1hfs 10.26
2jdy 4.46
2jdm 5.63
2jdu 4.33
